10
4 5
11 32 0.1
26 31 0.8
24 6 0.5
4 24 0.2
28 6 1.0
1 16 1.0
29 16 0.7
29 31 0.1
23 26 0.2
19 8 0.4
26 31 0.7
7 9 0.5
31 16 0.3
3 7 0.2
22 31 0.7
21 28 0.5
9 25 0.2
26 14 0.3
14 6 0.6
32 19 0.9
24 28 0.7
10 26 0.6
7 24 0.3
19 8 0.5
4 6 1.0
32 24 0.7
17 32 1.0
30 21 1.0
17 22 0.6
12 19 0.1
21 24 0.6
13 26 0.5
18 15 0.7
23 25 0.5
4 31 0.3
20 24 0.1
5 7 0.3
6 16 0.8
25 20 0.7
7 9 0.2
6 17 0.6
2 7 0.1
1 24 0.9
20 6 0.1
29 6 0.8
25 6 0.4
26 31 1.0
9 6 0.8
27 14 0.6
25 28 0.3
25 14 0.6
17 6 0.1
19 31 0.7
6 24 0.6
31 6 0.8
4 26 0.7
23 22 0.3
32 28 0.2
20 18 0.7
27 31 0.2
9 14 0.3
4 26 0.5
31 24 0.1
13 12 0.3
30 19 0.3
24 6 1.0
32 6 0.3
10 6 0.7
14 6 1.0
28 10 0.2
18 7 0.2
2 14 0.1
4 20 0.4
17 9 0.8
27 7 0.4
27 24 1.0
21 15 0.9
1 27 1.0
22 15 0.2
12 11 0.9
12 30 0.2
4 27 0.5
22 17 0.2
32 31 0.4
23 12 0.1
25 24 1.0
4 14 0.8
20 25 0.5
20 27 0.5
15 24 0.3
8 6 0.4
30 6 0.6
25 21 1.0
13 21 0.2
21 19 0.3
19 27 0.5
25 6 0.8
25 6 0.5
6 25 0.9
10 22 0.4
24 24 0.2
29 10 0.2
9 12 0.6
4 6 0.9
16 31 0.1
6 10 0.1
22 6 0.9
3 31 0.6
14 29 0.6
